ID,Nome,E-mail,Cidade,Valor da Compra,Data da Compra
1,Rafael Campos,carlos.souza@exemplo.com,São Paulo,953.15,2024-08-01
8,Ana Silva,joão.santos@exemplo.com,São Paulo,819.5,2024-02-22
13,João Santos,ricardo.lima@exemplo.com,São Paulo,697.4,2024-06-28
14,João Santos,beatriz.almeida@exemplo.com,São Paulo,595.69,2023-11-30
16,Carlos Souza,beatriz.almeida@exemplo.com,São Paulo,893.79,2024-10-27
22,Mariana Oliveira,paula.mendes@exemplo.com,São Paulo,974.23,2024-09-05
71,José Pereira,ricardo.lima@exemplo.com,São Paulo,562.15,2024-10-25
76,Fernanda Costa,josé.pereira@exemplo.com,São Paulo,536.75,2024-08-23
81,Ana Silva,fernanda.costa@exemplo.com,São Paulo,698.01,2024-08-06
84,Fernanda Costa,joão.santos@exemplo.com,São Paulo,934.66,2024-10-23
94,Mariana Oliveira,fernanda.costa@exemplo.com,São Paulo,672.96,2024-11-09
113,João Santos,joão.santos@exemplo.com,São Paulo,910.07,2024-11-15
118,Carlos Souza,paula.mendes@exemplo.com,São Paulo,967.57,2024-02-23
123,Rafael Campos,mariana.oliveira@exemplo.com,São Paulo,582.58,2024-07-24
126,Carlos Souza,carlos.souza@exemplo.com,São Paulo,521.29,2023-12-30
151,Ana Silva,beatriz.almeida@exemplo.com,São Paulo,997.11,2024-04-10
179,Rafael Campos,rafael.campos@exemplo.com,São Paulo,941.29,2024-05-10
191,Rafael Campos,fernanda.costa@exemplo.com,São Paulo,819.2,2024-06-16
196,Rafael Campos,paula.mendes@exemplo.com,São Paulo,888.51,2024-06-29
